출발지,목적지,시간,등급
"서울","부산","0030","심야우등","28"
"서울","부산","0100","심야프리미엄","21"
"서울","부산","0130","심야우등","28"
"서울","부산","0200","심야프리미엄","21"
"서울","부산","0600","우등","28"
"서울","부산","0630","프리미엄","21"
"서울","부산","0700","우등","28"
"서울","부산","0800","우등","28"
"서울","부산","0820","프리미엄","21"
"서울","부산","0840","일반","45"
"서울","부산","0900","우등","28"
"서울","부산","0940","우등","28"
"서울","부산","1000","우등","28",
"서울","부산","1030","프리미엄","21"
"서울","부산","1100","우등","28"
"서울","부산","1130","우등","28"
"서울","부산","1200","프리미엄","21"
"서울","부산","1230","우등","28"
"서울","부산","1300","프리미엄","21"
"서울","부산","1330","우등","28"
"서울","부산","1400","프리미엄","21"
"서울","부산","1430","우등","28"
"서울","부산","1530","우등","28"
"서울","부산","1600","프리미엄","21"
"서울","부산","1620","우등","28"
"서울","부산","1640","프리미엄","21"
"서울","부산","1700","우등","28"
"서울","부산","1720","일반","45"
"서울","부산","1740","프리미엄","21"
"서울","부산","1800","우등","28"
"서울","부산","1820","일반","45"
"서울","부산","1840","우등","28"
"서울","부산","1900","프리미엄","21"
"서울","부산","1930","일반","45"
"서울","부산","2000","우등","28"
"서울","부산","2030","프리미엄","21"
"서울","부산","2100","일반","45"
"서울","부산","2130","프리미엄","21"
"서울","부산","2200","심야우등","28"
"서울","부산","2230","심야우등","28"
"서울","부산","2330","심야우등","28"
"서울","부산","2400","심야프리미엄","21"

"서울","강릉","0600","우등","28"
"서울","강릉","0630","우등","28"
"서울","강릉","0700","우등","28"
"서울","강릉","0730","일반","45"
"서울","강릉","0800","우등","28"
"서울","강릉","0830","우등","28"
"서울","강릉","0900","우등","28"
"서울","강릉","0920","일반","45"
"서울","강릉","1000","프리미엄","21"
"서울","강릉","1020","우등","28"
"서울","강릉","1040","우등","28"
"서울","강릉","1120","우등","28"
"서울","강릉","1200","우등","28"
"서울","강릉","1230","일반","45"
"서울","강릉","1300","프리미엄","21"
"서울","강릉","1330","우등","28"
"서울","강릉","1400","우등","28"
"서울","강릉","1430","일반","45"
"서울","강릉","1530","우등","28"
"서울","강릉","1600","프리미엄","21"
"서울","강릉","1630","우등","28"
"서울","강릉","1700","우등","28"
"서울","강릉","1730","우등","28"
"서울","강릉","1800","우등","28"
"서울","강릉","1830","일반","45"
"서울","강릉","1900","프리미엄","21"
"서울","강릉","1930","우등","28"
"서울","강릉","2000","우등","28"
"서울","강릉","2030","일반","45"
"서울","강릉","2130","우등","28"
"서울","강릉","2200","심야프리미엄","21"
"서울","강릉","2250","심야우등","28"
"서울","강릉","2340","심야우등","28"

"부산","서울","0030","심야우등","28"
"부산","서울","0130","심야우등","28"
"부산","서울","0200","심야프리미엄","21"
"부산","서울","0600","우등","28"
"부산","서울","0630","프리미엄","21"
"부산","서울","0700","우등","28"
"부산","서울","0800","우등","28"
"부산","서울","0820","프리미엄","21"
"부산","서울","0840","일반","45"
"부산","서울","0900","우등","28"
"부산","서울","0930","프리미엄","21"
"부산","서울","1000","일반","45"
"부산","서울","1030","프리미엄","21"
"부산","서울","1100","우등","28"
"부산","서울","1120","일반","45"
"부산","서울","1140","우등","28"
"부산","서울","1230","우등","28"
"부산","서울","1300","프리미엄","21"
"부산","서울","1400","프리미엄","21"
"부산","서울","1430","우등","28"
"부산","서울","1500","프리미엄","21"
"부산","서울","1530","우등","28"
"부산","서울","1600","프리미엄","21"
"부산","서울","1620","우등","28"
"부산","서울","1640","프리미엄","21"
"부산","서울","1700","우등","28"
"부산","서울","1720","일반","45"
"부산","서울","1800","우등","28"
"부산","서울","1840","우등","28"
"부산","서울","1900","프리미엄","21"
"부산","서울","1930","우등","28"
"부산","서울","2000","우등","28"
"부산","서울","2030","프리미엄","21"
"부산","서울","2100","우등","28"
"부산","서울","2130","프리미엄","21"
"부산","서울","2200","심야우등","28"
"부산","서울","2230","심야우등","28"
"부산","서울","2300","심야프리미엄","21"
"부산","서울","2330","심야우등","28"

"강릉","서울","0600","우등","28"
"강릉","서울","0630","우등","28"
"강릉","서울","0700","프리미엄","21"
"강릉","서울","0730","일반","45"
"강릉","서울","0800","우등","28"
"강릉","서울","0830","우등","28"
"강릉","서울","0900","우등","28"
"강릉","서울","0920","일반","45"
"강릉","서울","0940","우등","28"
"강릉","서울","1000","프리미엄","21"
"강릉","서울","1020","우등","28"
"강릉","서울","1040","우등","28"
"강릉","서울","1120","우등","28"
"강릉","서울","1200","우등","28"
"강릉","서울","1230","일반","45"
"강릉","서울","1300","프리미엄","21"
"강릉","서울","1330","우등","28"
"강릉","서울","1400","우등","28"
"강릉","서울","1430","일반","45"
"강릉","서울","1530","우등","28"
"강릉","서울","1600","프리미엄","21"
"강릉","서울","1630","우등","28"
"강릉","서울","1700","우등","28"
"강릉","서울","1730","우등","28"
"강릉","서울","1800","우등","28"
"강릉","서울","1830","일반","45"
"강릉","서울","1900","프리미엄","21"
"강릉","서울","1930","우등","28"
"강릉","서울","2000","우등","28"
"강릉","서울","2030","일반","45"
"강릉","서울","2100","우등","28"
"강릉","서울","2130","우등","28"
"강릉","서울","2200","심야프리미엄","21"
"강릉","서울","2250","심야우등","28"
"강릉","서울","2340","심야우등","28"

"서울","전주","0530","우등","28"
"서울","전주","0550","고속","45"
"서울","전주","0600","우등","28" 
"서울","전주","0610","우등","28" 
"서울","전주","0625","고속","45"
"서울","전주","0635","우등","28"
"서울","전주","0645","우등","28"
"서울","전주","0655","우등","28"
"서울","전주","0710","고속","45"
"서울","전주","0720","우등","28"
"서울","전주","0730","프리미엄","21"
"서울","전주","0740","우등","28"
"서울","전주","0755","고속","45"
"서울","전주","0805","우등","28"
"서울","전주","0820","우등","28"
"서울","전주","0830","우등","28"
"서울","전주","0845","고속","45"
"서울","전주","0855","우등","28"
"서울","전주","0905","프리미엄","21"
"서울","전주","0915","우등","28"
"서울","전주","0930","고속","45"
"서울","전주","0940","우등","28"
"서울","전주","0950","우등","28"
"서울","전주","1005","고속","45"
"서울","전주","1015","우등","28"
"서울","전주","1025","우등","28"
"서울","전주","1040","고속","45"
"서울","전주","1050","우등","28"
"서울","전주","1100","우등","28"
"서울","전주","1110","프리미엄","21"
"서울","전주","1120","우등","28"
"서울","전주","1135","고속","45"
"서울","전주","1145","우등","28"
"서울","전주","1155","우등","28"
"서울","전주","1210","고속","45"
"서울","전주","1220","우등","28"
"서울","전주","1230","우등","28"
"서울","전주","1240","고속","45"
"서울","전주","1250","우등","28"
"서울","전주","1300","우등","28"
"서울","전주","1335","프리미엄","21"
"서울","전주","1345","우등","28"
"서울","전주","1420","우등","28"
"서울","전주","1445","고속","45"
"서울","전주","1455","우등","28"
"서울","전주","1520","우등","28"
"서울","전주","1540","우등","28"
"서울","전주","1555","고속","45"
"서울","전주","1630","고속","45"
"서울","전주","1640","고속","45"
"서울","전주","1700","프리미엄","21"
"서울","전주","1745","우등","28"
"서울","전주","1810","우등","28"
"서울","전주","1840","고속","45"
"서울","전주","1900","우등","28"
"서울","전주","1930","우등","28"
"서울","전주","1940","프리미엄","21"
"서울","전주","2020","우등","28"
"서울","전주","2030","고속","45"
"서울","전주","2050","우등","28"
"서울","전주","2140","고속","45"
"서울","전주","2200","심야우등","28"
"서울","전주","2220","프리미엄","21"
"서울","전주","2240","심야우등","28"
"서울","전주","2320","심야우등","28"
"서울","전주","2340","심야우등","28"
"서울","전주","2400","심야우등","28"

"전주","서울","0500","우등","28"
"전주","서울","0515","고속","45"
"전주","서울","0540","우등","28"
"전주","서울","0600","고속","45"
"전주","서울","0610","우등","28"
"전주","서울","0640","고속","45"
"전주","서울","0720","고속","45"
"전주","서울","0730","우등","28"
"전주","서울","0740","프리미엄","21"
"전주","서울","0815","우등","28"
"전주","서울","0840","고속","45"
"전주","서울","0850","우등","28"
"전주","서울","0905","우등","28"
"전주","서울","0930","고속","45"
"전주","서울","1005","고속","45"
"전주","서울","1025","프리미엄","21"
"전주","서울","1050","고속","45"
"전주","서울","1110","우등","28"
"전주","서울","1135","우등","28"
"전주","서울","1200","고속","45"
"전주","서울","1210","우등","28"
"전주","서울","1240","고속","45"
"전주","서울","1250","우등","28"
"전주","서울","1310","우등","28"
"전주","서울","1345","프리미엄","21"
"전주","서울","1410","고속","45"
"전주","서울","1440","우등","28"
"전주","서울","1455","고속","45"
"전주","서울","1550","우등","28"
"전주","서울","1600","프리미엄","21"
"전주","서울","1625","고속","45"
"전주","서울","1645","우등","28"
"전주","서울","1720","우등","28"
"전주","서울","1800","우등","28"
"전주","서울","1810","고속","45"
"전주","서울","1830","프리미엄","21"
"전주","서울","1850","고속","45"
"전주","서울","1910","우등","28"
"전주","서울","1940","우등","28"
"전주","서울","1950","고속","45"
"전주","서울","2010","프리미엄","21"
"전주","서울","2040","우등","28"
"전주","서울","2100","고속","45"
"전주","서울","2200","프리미엄","21"
"전주","서울","2230","심야우등","28"
"전주","서울","2300","심야우등","28"
"전주","서울","2330","심야우등","28"
"전주","서울","2400","심야우등","28"

"서울","공주","0605","우등","28"
"서울","공주","0645","우등","28"
"서울","공주","0720","우등","28"
"서울","공주","0805","고속","45"
"서울","공주","0835","우등","28"
"서울","공주","0905","우등","28"
"서울","공주","0935","우등","28"
"서울","공주","1005","우등","28"
"서울","공주","1035","우등","28"
"서울","공주","1105","고속","45"
"서울","공주","1135","우등","28"
"서울","공주","1210","우등","28"
"서울","공주","1225","우등","28"
"서울","공주","1240","우등","28"
"서울","공주","1305","우등","28"
"서울","공주","1335","고속","45"
"서울","공주","1405","우등","28"
"서울","공주","1435","우등","28"
"서울","공주","1510","우등","28"
"서울","공주","1530","우등","28"
"서울","공주","1605","우등","28"
"서울","공주","1635","고속","45"
"서울","공주","1705","우등","28"
"서울","공주","1730","우등","28"
"서울","공주","1805","우등","28"
"서울","공주","1835","우등","28"
"서울","공주","1905","우등","28"
"서울","공주","1930","고속","45"
"서울","공주","2005","우등","28"
"서울","공주","2035","우등","28"
"서울","공주","2105","우등","28"
"서울","공주","2140","우등","28"
"서울","공주","2220","심야우등","28"
"서울","공주","2205","심야우등","28"

"공주","서울","0600","우등","28"
"공주","서울","0640","우등","28"
"공주","서울","0720","우등","28"
"공주","서울","0800","고속","45"
"공주","서울","0830","우등","28"
"공주","서울","0900","우등","28"
"공주","서울","0930","우등","28"
"공주","서울","1000","우등","28"
"공주","서울","1030","우등","28"
"공주","서울","1100","고속","45"
"공주","서울","1130","우등","28"
"공주","서울","1200","우등","28"
"공주","서울","1230","우등","28"
"공주","서울","1300","우등","28"
"공주","서울","1330","우등","28"
"공주","서울","1400","고속","45"
"공주","서울","1430","우등","28"
"공주","서울","1520","우등","28"
"공주","서울","1540","우등","28"
"공주","서울","1600","우등","28"
"공주","서울","1630","고속","45"
"공주","서울","1700","우등","28"
"공주","서울","1730","우등","28"
"공주","서울","1740","우등","28"
"공주","서울","1800","우등","28"
"공주","서울","1830","우등","28"
"공주","서울","1900","우등","28"
"공주","서울","1930","고속","45"
"공주","서울","2000","우등","28"
"공주","서울","2030","우등","28"
"공주","서울","2100","우등","28"
"공주","서울","2140","우등","28"
"공주","서울","2230","심야우등","28"
